file,genre,bpm,score_rythme,score_musicalite,commentaire,version,score_rythme_alt,score_musicalite_alt,mfcc_1,mfcc_2,mfcc_3,mfcc_4,mfcc_5,mfcc_6,mfcc_7,mfcc_8,mfcc_9,mfcc_10,mfcc_11,mfcc_12,mfcc_13,chroma_1,chroma_2,chroma_3,chroma_4,chroma_5,chroma_6,chroma_7,chroma_8,chroma_9,chroma_10,chroma_11,chroma_12,zcr_mean,spectral_centroid,spectral_bandwidth,spectral_rolloff,rms
guitar/683039_Harmonic_d4.mp3,classical,0.0,100.0,100.0,100,,,,-715.6598,44.7341,27.351503,11.568995,0.5127915,-6.1782722,-8.814667,-9.655408,-10.462132,-9.799876,-5.3586984,3.630353,15.138413,0.045433253,0.24041384,0.9854143,0.3993913,0.054032784,0.046804298,0.044093873,0.04359816,0.044893038,0.042808235,0.039230976,0.040121503,0.03999940183921438,1991.3839458759376,2851.5610220129943,3852.12087008988,0.0037339486
audio_degraded/synth_661107_Synth_Bass_Loop_4__degraded_musicality.wav,electronic,[129.19921875],100.0,100.0,Ouahhh,degraded_musicality,100.0,70.0,-379.56827,126.788086,24.810469,13.666293,14.852487,9.374375,9.75269,7.1958995,6.5723205,5.645177,4.629373,4.5085573,3.7488344,0.784195,0.8172747,0.86226475,0.86321837,0.8752325,0.83670074,0.83447444,0.8072636,0.78482777,0.7447178,0.7226364,0.7581697,0.006473256754185692,1128.2477905124942,2012.5607279923677,2385.0726401969177,0.127704
guitar/130481_Time-Stretched_Electric_Guitar_6.mp3,electronic,[161.49902344],40.0,50.0,Yooo,,,,-240.25703,153.52846,-99.574646,-9.908511,-17.803417,3.212287,-17.03639,-15.613438,-7.1335998,2.3444002,3.4773932,-7.554223,-6.5730114,0.23500913,0.22387186,0.25761247,0.22657646,0.20014231,0.22309512,0.2530553,0.27061582,0.335127,0.29091546,0.637904,0.34216,0.07367266386664345,2195.0310341366408,1864.2949434715276,3246.915123389624,0.08731118
synth/661111_Synth_Bass_Loop_20.mp3,electronic,[63.80208333],100.0,100.0,Ouahhh,,,,-382.54474,114.93642,16.629814,13.203335,13.414385,10.18052,9.282026,7.013405,6.9314666,5.7648697,5.354298,4.499891,4.0735693,0.83151555,0.85478705,0.8414396,0.85946715,0.88321066,0.85222495,0.81385213,0.8254584,0.8698853,0.8644728,0.80176026,0.8005831,0.0073814450152207,636.0325799337892,1391.5083403762856,1084.6244916523972,0.19151619
guitar/616236_47.mp3,simple_note,[109.95678191],100.0,100.0,Clean,,,,-700.13947,119.529495,61.6406,49.04501,12.296767,20.956131,-2.5177426,5.6621947,-9.483091,-1.3361536,-10.151458,-4.7629576,-9.458575,0.6903462,0.41629955,0.21378376,0.10986157,0.06784434,0.2686706,0.82478917,0.5530023,0.23913519,0.29706275,0.45878565,0.7504345,0.022772674063517916,2022.591453340449,3519.1863715773893,4640.755977071458,0.0033376135
voice/316459_Human_Good_20.mp3,voice,[312.5],0.0,0.0,Huahh,,,,-268.45355,113.87487,-16.946371,26.135542,-14.090504,7.170137,-8.688317,12.197897,14.008045,8.260846,-12.819247,8.529341,0.8182785,0.6047523,0.5010011,0.44444335,0.52771753,0.4946377,0.57830125,0.6261016,0.61286443,0.58317053,0.60781884,0.5884166,0.5600782,0.027965198863636364,2827.322614495323,4005.2395187990874,6485.795454545455,0.124857314
guitar/315706_AcousticGuitar-C-Chord.mp3,simple_note,[48.49137931],100.0,100.0,Yes,,,,-372.8381,127.78238,10.21388,19.353313,9.155094,11.014601,2.531761,-5.5510426,-13.463802,-9.376966,-12.01231,-4.5064654,-6.4253416,0.4175179,0.22754146,0.14435278,0.15244111,0.39449775,0.18521322,0.27850696,0.8492508,0.30739018,0.07249711,0.061937008,0.20818113,0.03893229166666667,993.3196834326457,1444.9380487332335,1852.8645833333333,0.060575902
audio_degraded/synth_661114_Synth_Bass_Loop_25__degraded_rhythm.wav,electronic,[103.359375],100.0,100.0,Ouahhh,degraded_rhythm,70.0,100.0,-369.44562,122.02788,18.47568,12.0395355,12.32788,8.180305,8.505726,5.6610465,5.010395,3.9674869,3.345624,3.226368,2.7177112,0.7876992,0.7586472,0.7266707,0.7133515,0.7128867,0.6908169,0.66733235,0.6771288,0.67411274,0.7058923,0.72160393,0.74890345,0.00943732871498173,1534.5818918777338,2342.205917755475,3451.554768384592,0.1393192
guitar/130467_Electric_Guitar_3.mp3,rock,[161.49902344],50.0,60.0,Again,,,,-166.57039,96.80551,-10.245429,-24.214087,-2.742402,26.558294,-22.25238,20.120314,-13.807391,20.77603,-12.670748,12.184185,-7.7014832,0.4962183,0.16941337,0.18197288,0.2565234,0.2087965,0.35820058,0.37722725,0.14026465,0.1026425,0.13947907,0.17989413,0.30945888,0.11410122575431035,4786.365703504929,5344.022845839612,10839.777326912716,0.1252449
audio_degraded/guitar_683038_Harmonic_b4__degraded_rhythm.wav,classical,0.0,100.0,100.0,100,degraded_rhythm,70.0,100.0,-758.306,45.572834,23.994343,11.300933,9.1307125,11.630375,17.634525,25.99143,31.722837,29.724825,18.654543,3.0676162,-7.463866,0.26879913,0.17720641,0.23965105,0.33485287,0.4218203,0.43589547,0.36532724,0.2768977,0.21427786,0.18043989,0.29093045,0.7990517,0.031988209691540946,2886.8479317041783,4361.43627659863,6414.666958512931,0.002309416
audio_degraded/ambient_327691_ambience_hydroelectric_power_station_Donau_Greifenstein__degraded_rhythm.wav,,[148.02631579],,,,degraded_rhythm,0.0,,-325.21338,223.567,-45.20484,13.436354,3.4336152,-17.611525,15.408548,-7.3549204,-4.2137227,4.323302,-6.7939124,0.09186445,-6.6190195,0.47792944,0.549295,0.7016853,0.74183744,0.6887971,0.6479219,0.64633965,0.55057317,0.47264162,0.46733424,0.4169974,0.40219456,0.03174551849909561,1379.9508491180752,1586.7201988688755,2619.2239392302668,0.02907165
sfx/322494_Explosion_12.mp3,ambient,[161.49902344],100.0,100.0,Bizarre,,,,-534.7731,115.85679,45.427017,42.90836,28.349634,21.05349,16.502636,20.735424,11.616692,11.444574,7.11225,9.533167,3.7397077,0.7996545,0.7977874,0.7783907,0.77366,0.7857992,0.7828607,0.720946,0.68824136,0.6873981,0.7020432,0.709973,0.7403933,0.023577779696132596,1607.0133158444653,3329.8668921659364,2605.160674205801,0.023004621
audio_degraded/voice_507398_VocalTraining_4__I_Will_Have_To_Listen_To_Them_.mp3__degraded_musicality.wav,voice,[156.60511364],80.0,0.0,Monotone,degraded_musicality,80.0,0.0,-439.8097,117.68392,20.098482,19.784348,-0.4156704,18.21675,-1.4327943,1.5919597,2.5452688,-5.8974886,1.9327469,-6.218812,-5.0232015,0.49038634,0.5382922,0.5597195,0.6022599,0.5767296,0.57938874,0.55663764,0.5098054,0.4525545,0.45051855,0.46013036,0.44810942,0.07565812512734311,2989.6951350588865,3326.486467470754,6276.1302099251225,0.021419639
audio_degraded/ambient_610770_Mexico_City_Metro_Ambient_Sounds.mp3__degraded_rhythm.wav,,[95.703125],,,,degraded_rhythm,0.0,,-222.65152,153.92384,-16.516083,38.442543,8.286579,6.979061,15.282483,2.5196857,0.56398094,7.735547,2.3539588,2.3699057,4.836997,0.5139091,0.49592736,0.48212767,0.48297828,0.47593218,0.44054416,0.40925273,0.47248933,0.4688995,0.4266171,0.40624562,0.42597523,0.03455320641629712,1697.900693568962,2275.576679575246,3643.6829560611836,0.11278998
audio_degraded/guitar_8563_D7th_thin_strs__degraded_musicality.wav,simple_note,[120.18531977],100.0,100.0,simple,degraded_musicality,100.0,70.0,-532.2494,42.444096,21.0698,17.196098,13.379912,8.798894,5.5480804,2.250406,-1.6229917,-6.134502,-7.5578995,-6.3523393,-5.3777394,0.48789898,0.40242714,0.36018574,0.43947023,0.55736655,0.46246216,0.4918218,0.7043011,0.521115,0.37264505,0.35265735,0.4449674,0.03549589467114325,3458.7612639342974,4434.875873606918,7967.878357438017,0.0108718015
piano/665802_Piano_in_11_8_100.mp3,classical,[123.046875],70.0,90.0,Ouahh,,,,-626.7881,85.30062,16.428406,-0.91772443,5.883011,16.733473,25.334768,20.806833,7.675787,-1.5471698,-0.082288794,11.448898,19.887178,0.061871044,0.058598,0.06287125,0.1679149,0.7467437,0.20091215,0.10088927,0.30190036,0.10290429,0.058829874,0.06079767,0.08262794,0.054209097272398844,1839.6639224438416,2472.3015859985253,3546.9417505870665,0.0067110984
guitar/47859_B_min.mp3,pop,[122.2826087],100.0,100.0,B min,,,,-174.83867,140.11485,-59.185425,103.50761,-4.8095512,-9.897609,11.61107,6.582078,7.703409,-13.850678,-22.672873,-7.2213507,-0.2811148,0.56694305,0.37695634,0.30035612,0.16217995,0.085407086,0.24672067,0.61401945,0.31231102,0.13939667,0.27105024,0.6124723,0.8553407,0.08948910361842105,1583.8850514162664,1544.0583316126642,3348.7870065789475,0.16726291
audio_degraded/voice_316459_Human_Good_20__degraded_musicality.wav,voice,[312.5],0.0,0.0,Huahh,degraded_musicality,0.0,0.0,-299.4382,123.36801,-20.667976,32.12476,-14.359997,8.968032,-12.737443,6.20744,9.537919,20.75937,-9.611758,2.9191399,0.6052306,0.45505932,0.47906122,0.43551973,0.58550936,0.61732656,0.54442215,0.53902245,0.6530382,0.6152066,0.57547873,0.64094245,0.50855345,0.021495472301136364,2501.1456161210936,3606.2211111193174,5725.142045454545,0.09926107
audio_degraded/sfx_317759_SFX_Explosion_11__degraded_musicality.wav,ambient,[139.67483108],0.0,0.0,Ambient,degraded_musicality,0.0,0.0,-257.15576,218.42023,-4.344721,8.877699,-15.9542885,10.288264,-2.9406378,3.8884003,-10.351568,10.008843,-4.782518,1.2807089,-2.3108778,0.6140606,0.6015095,0.58159006,0.5766914,0.57683825,0.5861185,0.6000472,0.59958506,0.5953566,0.60574925,0.60488534,0.6039137,0.03297601744186047,1275.3108997255526,2092.6122264501214,1695.2091660610465,0.06989997
audio_degraded/guitar_167417_HighE__degraded_rhythm.wav,simple_note,[120.18531977],100.0,100.0,E,degraded_rhythm,70.0,100.0,-687.6473,88.041504,32.335255,5.5061655,1.1539643,-6.1500907,-19.233915,-27.58288,-22.863083,-10.803731,-5.879515,-10.728682,-17.13285,0.026791384,0.017755331,0.06265799,0.3723215,0.99713254,0.5861218,0.0692161,0.015711783,0.021770524,0.013406419,0.016092762,0.049025323,0.030524481844473008,1715.3248603818872,2630.766431328788,2542.606304727667,0.01173395
audio_degraded/sfx_317751_SFX_Explosion_08__degraded_rhythm.wav,ambient,[103.359375],0.0,0.0,Game,degraded_rhythm,0.0,0.0,-161.01944,152.73335,23.12324,20.846968,-2.5241885,3.5133576,-8.165426,7.2479725,-3.5731032,5.0288157,-9.216531,2.733483,-5.704072,0.59849334,0.562023,0.55345297,0.55945617,0.5168934,0.5335493,0.5379965,0.51054525,0.48551294,0.531402,0.57926047,0.6069683,0.04267622114301802,2571.394393992755,3981.8440295182268,5811.636929898648,0.13466431
audio_degraded/guitar_47860_C__min__degraded_rhythm.wav,pop,[187.5],100.0,100.0,Pop C min,degraded_rhythm,70.0,100.0,-211.53796,133.64543,-56.358555,97.15167,2.0393493,-8.500547,18.296572,-1.5161974,-2.8276663,-15.223963,-13.17511,-5.1986647,-1.3128186,0.47887382,0.8549382,0.43216988,0.27072492,0.3713352,0.14189555,0.07871182,0.25655583,0.6276591,0.1997905,0.09562546,0.23397887,0.09518575465425531,1649.4391443531842,1557.7911047091275,3412.0511968085107,0.11904463
audio_degraded/drums_760546_128_BPM_Industrial_Drum_Loop__6440__WAV___degraded_musicality.wav,electronic,[126.04801829],60.0,40.0,Wesh,degraded_musicality,60.0,28.0,-283.03107,188.58127,-11.950226,39.460495,45.222313,-3.1992118,15.656816,10.826494,-3.4111333,6.430986,-0.13339148,0.9716064,4.350861,0.74367046,0.7545823,0.7309301,0.70811725,0.725285,0.6553422,0.58870107,0.5765348,0.59642047,0.57474935,0.5912203,0.7151896,0.011870298592298762,834.6447993417294,1389.9426755398617,2045.4042983867066,0.108181626
audio_degraded/guitar_333246_BBKing_II__degraded_rhythm.wav,jazz,[148.02631579],80.0,100.0,Jazz,degraded_rhythm,56.0,100.0,-358.1415,111.0992,-57.529415,17.16224,6.6433625,-16.212322,-11.014602,-11.315178,-4.8667374,-11.059007,-7.8542776,-8.836876,-11.505949,0.17915693,0.21253638,0.34076405,0.2396954,0.14078605,0.18137048,0.120672315,0.1940432,0.17904244,0.2824325,0.09767616,0.075655416,0.07826094193892046,1231.1448632943795,959.4794618274277,2117.120916193182,0.098525696
audio_degraded/guitar_550974_clean_guitar_power_chords.mp3__degraded_musicality.wav,rock,[140.625],60.0,70.0,Power,degraded_musicality,60.0,49.0,-243.73949,196.62753,-84.479965,23.750904,-14.924684,-21.37457,-5.2670355,-18.259024,0.3621075,-6.54455,-8.63491,-7.5627375,-12.709823,0.34506524,0.2994042,0.3562078,0.23622566,0.32609856,0.40256536,0.4758456,0.40096548,0.39326298,0.66689163,0.407839,0.29094386,0.0816356952373798,1308.298724846505,1071.2172831633454,2319.861778846154,0.06370305
voice/371760_elevator_music_vocal_Manly.ogg.mp3,voice,[112.34714674],0.0,0.0,Huahh,,,,-433.74597,65.762856,44.18257,38.046947,29.526697,24.26169,22.828506,18.268723,12.941789,12.163485,11.88652,11.00299,11.233246,0.80206037,0.8689613,0.92398316,0.96481866,0.98753333,0.9894316,0.99177265,0.97875476,0.94558215,0.8961555,0.8340132,0.7641168,0.0018034904233870967,145.68072525071884,824.954086017294,139.9658203125,0.7774094
guitar/121213_Bare_Sweep.mp3,pop,[148.02631579],100.0,80.0,Mechanical,,,,-263.57382,174.3298,34.594013,11.908333,1.2773015,0.09047552,-7.8567185,-7.621586,-1.4225789,1.7722706,0.9208984,-1.2739922,0.60063773,0.22597463,0.07837031,0.14457205,0.38972202,0.14589772,0.0825297,0.22093068,0.16975291,0.23135184,0.11994685,0.14304101,0.24577883,0.037553267045454544,614.8963931202546,768.7272031293397,828.5984848484849,0.27696446
synth/661106_Synth_Bass_Loop_33.mp3,electronic,[129.19921875],100.0,100.0,Ouahhh,,,,-402.86685,95.855804,13.520845,10.075827,10.441346,7.861594,7.261536,5.3037376,5.2495646,4.278497,4.0004096,3.362,3.008604,0.7731254,0.78151107,0.77117294,0.7857614,0.80438447,0.7774964,0.75002176,0.7541192,0.7697065,0.75976634,0.7167688,0.7361371,0.008298551655251141,759.3937003410102,1492.3733344130262,1292.0905126284247,0.15932146
voice/461943_Evan's_Vocal_Squeak_and_Pop.mp3.mp3,voice,[139.67483108],0.0,50.0,Huahh,,,,-575.60626,13.445357,-15.243287,9.622018,-5.4870353,-3.4780178,2.510991,3.134765,0.20126712,3.3160865,-4.863555,3.9120624,-10.892213,0.76131636,0.7392811,0.5840935,0.4279902,0.37754688,0.3930299,0.39065886,0.3779002,0.39548656,0.43997636,0.47746634,0.59832567,0.2988026936848958,7330.37619947215,5401.932282588067,13720.912170410156,0.009948301
audio_degraded/sfx_317751_SFX_Explosion_08__degraded_musicality.wav,ambient,[105.46875],0.0,0.0,Game,degraded_musicality,0.0,0.0,-171.30923,160.47205,16.725985,32.04139,-8.190757,13.912183,-16.79372,12.927279,-11.113302,12.722004,-12.1747055,8.523817,-10.736008,0.60089475,0.5744106,0.5592955,0.5608255,0.5609844,0.5372794,0.53682226,0.6087138,0.62210137,0.6344472,0.63709146,0.5907868,0.03821559410310735,2306.543719816552,3560.8843178291986,5222.3492121292375,0.13572788
drums/760528_192_BPM_Industrial_Drum_Loop_#6431_(WAV).mp3,electronic,[95.703125],90.0,50.0,Drums,,,,-221.13089,182.13063,10.503677,49.315556,1.0013276,21.44737,-1.1134243,4.5959496,8.586027,-7.5193267,6.103212,-1.7820959,4.048421,0.6902904,0.6139158,0.5775113,0.6266893,0.64849925,0.64098245,0.6148405,0.6488111,0.6734747,0.74000955,0.77247494,0.72407603,0.010846414588167054,1037.623798313244,2105.095282084193,1843.7368016785092,0.18642442
guitar/335158_GTR_RIFF_4_JeffGreer_100bpm.mp3,rock,[100.44642857],90.0,90.0,Riff,,,,-505.8205,162.75917,59.43548,56.983147,49.673252,24.61009,2.7063246,-9.350926,-4.20766,-0.28574747,-5.3606434,-3.296085,1.1358464,0.20771518,0.10962199,0.10382923,0.10067474,0.08636428,0.102823466,0.23268253,0.49650046,0.66738504,0.5269303,0.26727456,0.19485842,0.013702256944444444,317.4375916347705,495.8490070710947,527.03125,0.055141963
audio_degraded/guitar_330925_SomeRevelationIntro2__degraded_rhythm.wav,pop,[90.66611842],80.0,80.0,Noice,degraded_rhythm,56.0,80.0,-475.4066,151.01086,27.173456,-13.1293,5.296554,11.00165,-2.0720768,-13.468215,-16.895658,-12.4430275,-7.233562,-6.672208,-5.255302,0.17187673,0.32879013,0.6452497,0.43363178,0.2731819,0.2229038,0.19462092,0.12524031,0.14616296,0.3438936,0.21968412,0.14285395,0.034080003784602075,1151.0898368409282,1460.5490984929625,1956.1685634731834,0.03270414
audio_degraded/piano_528006_A__-_Piano_Chord__degraded_rhythm.wav,simple_note,[120.18531977],100.0,100.0,Piano,degraded_rhythm,70.0,100.0,-575.20044,54.860577,3.0361562,-2.1587856,-7.1738214,-18.678984,-20.89401,-21.24381,-20.52667,-19.22916,-16.397467,-6.6315336,2.198547,0.043064136,0.082174994,0.27470258,0.117893524,0.03404302,0.050575078,0.035306327,0.02685355,0.035362266,0.31329775,0.88068044,0.36962566,0.028556138738390094,2370.3584886532176,3035.910172187104,4688.571648848684,0.017740546
audio_degraded/guitar_130469_Electric_Guitar_1__degraded_musicality.wav,rock,[112.34714674],80.0,80.0,Simple,degraded_musicality,80.0,56.0,-212.29005,169.87825,-36.80415,22.216675,-31.491718,1.4019337,-22.561384,3.295822,-5.467411,3.837188,-2.2935007,-4.1728854,-7.77951,0.63900894,0.27585724,0.22446685,0.11174067,0.07650314,0.09865582,0.102153644,0.17316757,0.14503224,0.21251976,0.45697862,0.37951332,0.03995289522058824,1949.1327976179837,2494.350757125201,3587.3894186580883,0.11440755
audio_degraded/voice_316458_Human_Evil_14__degraded_musicality.wav,voice,[57.98969072],0.0,0.0,Voice,degraded_musicality,0.0,0.0,-320.3576,152.01721,-2.4725354,2.7384214,-10.120106,19.416803,-12.402968,-13.934582,15.547978,15.216452,-0.034980405,-2.0949895,-1.4839119,0.43823132,0.53181934,0.5583814,0.50297934,0.5133407,0.48000896,0.38200247,0.30149353,0.34211236,0.33224267,0.28186432,0.31996912,0.03388967803030303,1756.4032322502258,2734.5393321274278,2875.284090909091,0.069120996
guitar/47846_A_Maj.mp3,pop,[80.35714286],100.0,100.0,Pop,,,,-186.68677,141.18088,-48.511616,105.49081,9.671926,-6.6343427,11.575953,8.193604,8.883768,-10.314841,-17.832794,-9.986267,-4.486523,0.16714631,0.40959853,0.17557548,0.29549345,0.6865124,0.36232394,0.12192843,0.2225748,0.5902727,0.9549348,0.6686853,0.31506228,0.07030727774064172,1360.161818703465,1471.0879587420286,3058.5310828877004,0.19014156
audio_degraded/drums_457379_kick_2__degraded_rhythm.wav,,[109.95678191],,,,degraded_rhythm,0.0,,-49.889114,79.278366,-18.477873,16.46521,-6.434915,17.94921,-2.0556178,23.816547,0.7979925,21.338797,-3.5095944,16.7951,-5.4052057,0.70060986,0.7353738,0.7583654,0.7307734,0.7519289,0.75627816,0.70610285,0.70576537,0.66617054,0.66568357,0.6702607,0.6626132,0.09144756610576923,5218.969558575119,5322.824162645092,11596.292442908654,0.34643313
audio_degraded/drums_760617_192_BPM_Industrial_Drum_Loop__6461__WAV___degraded_rhythm.wav,electronic,[151.99908088],90.0,90.0,Ouahh,degraded_rhythm,63.0,90.0,-262.18256,143.32008,-7.6126666,55.152378,-1.687744,20.651833,11.781512,7.592106,12.803748,-0.18505785,9.660808,3.8919592,7.6291194,0.74372435,0.72864485,0.75760925,0.8018945,0.86601424,0.8626509,0.80197805,0.7438788,0.71118253,0.699294,0.72023153,0.72553617,0.012855352686861653,1560.228488372467,2687.193746475145,3913.344767365947,0.117789716
audio_degraded/guitar_335158_GTR_RIFF_4_JeffGreer_100bpm__degraded_rhythm.wav,rock,[156.25],90.0,90.0,Riff,degraded_rhythm,63.0,90.0,-517.75555,154.0751,52.431652,55.770092,50.74486,23.425278,3.3106003,-9.435528,-4.3747444,0.3470616,-5.50828,-2.614228,2.0114076,0.2057132,0.11015961,0.1339737,0.12176185,0.07832071,0.087620765,0.22061297,0.5139095,0.67962325,0.5206968,0.29908073,0.21667312,0.015015514184397163,351.5707797322989,622.7645536459901,582.280585106383,0.03698424
guitar/47855_G#_Maj.mp3,pop,[234.375],100.0,100.0,"Pop G
",,,,-180.94069,141.10431,-48.306206,100.54735,14.473958,-6.7813735,11.389249,1.8590311,10.719612,-1.7796516,-12.63118,-9.010171,-5.4655213,0.23651107,0.13978003,0.2894525,0.56688106,0.4167568,0.16153121,0.20043887,0.4597103,0.9117981,0.66514444,0.30872557,0.15746638,0.05415271577380952,1246.841273702223,1435.290773400997,2870.2256944444443,0.22416572
